🛡️ SENTINEL MONITOR STARTED: Mon Dec 29 23:25:44 EET 2025
🔍 Checking processes at Tue Dec 30 01:09:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:10:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:11:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:12:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:13:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:14:52 EET 2025...
🔍 Checking processes at Tue Dec 30 01:15:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:16:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:17:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:18:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:19:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:20:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:21:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:22:53 EET 2025...
🔍 Checking processes at Tue Dec 30 01:23:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:24:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:25:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:26:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:27:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:28:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:29:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:30:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:31:54 EET 2025...
🔍 Checking processes at Tue Dec 30 01:32:55 EET 2025...
🔍 Checking processes at Tue Dec 30 02:23:36 EET 2025...
🔍 Checking processes at Tue Dec 30 04:35:41 EET 2025...
⚠️ local_phase4a_quarterly.py DIED! Restarting...
✅ Restarted Phase 4A
⚠️ local_phase4b_analysts.py DIED! Restarting...
✅ Restarted Phase 4B
🔍 Checking processes at Tue Dec 30 07:10:18 EET 2025...
⚠️ local_phase5_ownership.py DIED! Restarting...
✅ Restarted Phase 5
🔍 Checking processes at Tue Dec 30 08:36:30 EET 2025...
🔍 Checking processes at Tue Dec 30 09:40:50 EET 2025...
🔍 Checking processes at Tue Dec 30 09:41:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:42:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:43:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:44:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:45:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:46:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:47:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:48:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:49:51 EET 2025...
🔍 Checking processes at Tue Dec 30 09:50:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:51:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:52:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:53:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:54:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:55:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:56:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:57:52 EET 2025...
🔍 Checking processes at Tue Dec 30 09:58:53 EET 2025...
⚠️ fill_data_gaps.py DIED! Restarting...
✅ Restarted fill_data_gaps.py
🔍 Checking processes at Tue Dec 30 09:59:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:00:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:01:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:02:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:03:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:04:53 EET 2025...
🔍 Checking processes at Tue Dec 30 10:05:54 EET 2025...
⚠️ local_phase4a_quarterly.py DIED! Restarting...
✅ Restarted Phase 4A
⚠️ local_phase4b_analysts.py DIED! Restarting...
✅ Restarted Phase 4B
🔍 Checking processes at Tue Dec 30 10:06:54 EET 2025...
⚠️ local_phase5_ownership.py DIED! Restarting...
✅ Restarted Phase 5
🔍 Checking processes at Tue Dec 30 10:07:54 EET 2025...
🔍 Checking processes at Tue Dec 30 10:21:24 EET 2025...
🔍 Checking processes at Tue Dec 30 10:53:56 EET 2025...
🔍 Checking processes at Tue Dec 30 10:54:56 EET 2025...
🔍 Checking processes at Tue Dec 30 10:55:56 EET 2025...
🔍 Checking processes at Tue Dec 30 10:56:56 EET 2025...
🔍 Checking processes at Tue Dec 30 10:57:56 EET 2025...
🔍 Checking processes at Tue Dec 30 10:58:57 EET 2025...
🔍 Checking processes at Tue Dec 30 10:59:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:00:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:01:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:02:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:03:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:04:57 EET 2025...
🔍 Checking processes at Tue Dec 30 11:05:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:06:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:07:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:08:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:09:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:10:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:11:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:12:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:13:58 EET 2025...
🔍 Checking processes at Tue Dec 30 11:14:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:15:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:16:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:17:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:18:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:19:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:20:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:21:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:22:59 EET 2025...
🔍 Checking processes at Tue Dec 30 11:24:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:25:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:26:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:27:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:28:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:29:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:30:00 EET 2025...
🔍 Checking processes at Tue Dec 30 11:31:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:32:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:33:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:34:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:35:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:36:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:37:01 EET 2025...
⚠️ fill_data_gaps.py DIED! Restarting...
✅ Restarted fill_data_gaps.py
🔍 Checking processes at Tue Dec 30 11:38:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:39:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:40:01 EET 2025...
🔍 Checking processes at Tue Dec 30 11:41:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:42:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:43:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:44:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:45:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:46:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:47:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:48:02 EET 2025...
🔍 Checking processes at Tue Dec 30 11:49:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:50:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:51:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:52:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:53:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:54:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:55:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:56:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:57:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:58:03 EET 2025...
🔍 Checking processes at Tue Dec 30 11:59:04 EET 2025...
🔍 Checking processes at Tue Dec 30 12:00:04 EET 2025...
🔍 Checking processes at Tue Dec 30 12:01:04 EET 2025...
